pmid,doi,gold_topic
41926346,10.1177/09567976261417325,eeg_memory
40024366,10.1016/j.brs.2025.02.020,eeg_memory
41395738,10.1111/psyp.70210,eeg_memory
40069364,10.1038/s41593-025-01884-8,eeg_memory
39401083,10.1111/psyp.14636,eeg_memory
38582783,10.1038/s41467-024-46926-0,eeg_memory
39033965,10.1016/j.jneumeth.2024.110220,eeg_memory
38552414,10.1016/j.clinph.2024.03.008,eeg_memory
39419472,10.1016/j.neuropsychologia.2024.109014,eeg_memory
36808118,10.1111/psyp.14275,eeg_memory
36535321,10.1016/j.neuroimage.2022.119821,eeg_memory
36702495,10.1093/cercor/bhad008,eeg_memory
34863960,10.1016/j.neuroimage.2021.118748,eeg_memory
36206941,10.1016/j.neuroimage.2022.119669,eeg_memory
36161912,10.1073/pnas.2201657119,eeg_memory
33305807,10.1093/cercor/bhaa368,eeg_memory
34155599,10.3758/s13415-021-00924-7,eeg_memory
31974207,10.1523/JNEUROSCI.1640-19.2019,eeg_memory
31672429,10.1016/j.tics.2019.09.011,eeg_memory
31358081,10.1017/S1355617719000845,eeg_memory
40706587,10.1016/j.neuron.2025.06.018,neurodevelopment
40234630,10.1038/s41562-025-02160-2,neurodevelopment
39209793,10.1093/schbul/sbae148,neurodevelopment
38438384,10.1038/s41467-024-46023-2,white_matter_connectivity
39230715,10.1007/s00234-024-03453-5,neurodevelopment
39289448,10.1038/s42003-024-06876-1,neurodevelopment
38517172,10.1093/cercor/bhae111,neurodevelopment
36478489,10.1002/hbm.26169,neurodevelopment
36520481,10.1093/cercor/bhac446,neurodevelopment
37293735,10.1093/cercor/bhad198,neurodevelopment
36593135,10.1016/j.biopsych.2022.11.012,neurodevelopment
36581495,10.1016/j.biopsych.2022.10.019,neurodevelopment
37429897,10.1038/s42003-023-05075-8,neurodevelopment
34452753,10.1016/j.semperi.2021.151473,neurodevelopment
31874926,10.1073/pnas.1912034117,neurodevelopment
30059733,10.1016/j.neuroimage.2018.07.057,neurodevelopment
30579789,10.1016/j.dcn.2018.12.005,neurodevelopment
31685648,10.1523/JNEUROSCI.2891-18.2019,neurodevelopment
30041061,10.1016/j.neuroimage.2018.07.041,neurodevelopment
29305910,10.1016/j.neuroimage.2017.12.097,neurodevelopment
40675610,10.1542/peds.2025-071774,pediatric_complex_care
40320600,10.1097/NHH.0000000000001339,pediatric_complex_care
40675603,10.1542/peds.2024-070454,pediatric_complex_care
39008301,10.1001/jamanetworkopen.2024.20579,pediatric_complex_care
38466329,10.3928/19382359-20240109-01,pediatric_complex_care
39250260,10.1097/NHH.0000000000001282,pediatric_complex_care
38368139,10.1016/j.anpede.2024.02.002,pediatric_complex_care
39420867,10.1542/hpeds.2024-007863,pediatric_complex_care
38196385,10.1542/hpeds.2023-007423,pediatric_complex_care
38531175,10.1016/j.pedn.2024.03.009,pediatric_complex_care
36756238,10.1093/pch/pxac044,pediatric_complex_care
36285567,10.1542/hpeds.2022-006627,pediatric_complex_care
35791784,10.1542/peds.2021-055098,pediatric_complex_care
33625740,10.1111/nuf.12559,pediatric_complex_care
31988068,10.1542/hpeds.2019-0105,pediatric_complex_care
31290774,10.1097/MOP.0000000000000793,pediatric_complex_care
30536803,10.1111/dmcn.14110,pediatric_complex_care
29496971,10.1542/peds.2017-1284E,pediatric_complex_care
29496973,10.1542/peds.2017-1284G,pediatric_complex_care
29496970,10.1542/peds.2017-1284D,pediatric_complex_care
40814567,10.1109/isbi60581.2025.10981144,white_matter_connectivity
41324261,10.7554/eLife.107012,white_matter_connectivity
40478295,10.1007/s00429-025-02939-z,white_matter_connectivity
38528269,10.1007/s00429-024-02775-7,white_matter_connectivity
38520376,10.1002/hbm.26665,white_matter_connectivity
37707839,10.1097/RLI.0000000000001015,white_matter_connectivity
38376190,10.1002/hbm.26628,white_matter_connectivity
37148369,10.1007/s10548-023-00955-y,white_matter_connectivity
37334008,10.1162/netn_a_00279,white_matter_connectivity
36378967,10.1126/science.abq2599,white_matter_connectivity
35662682,10.1016/j.dcn.2022.101117,neurodevelopment
35945231,10.1038/s41597-022-01596-9,white_matter_connectivity
35149304,10.1016/j.nicl.2022.102957,white_matter_connectivity
38666220,10.1093/psyrad/kkab021,white_matter_connectivity
32557893,10.1002/jmri.27188,white_matter_connectivity
34293464,10.1016/j.neuroimage.2021.118411,white_matter_connectivity
31990358,10.1093/schbul/sbz129,white_matter_connectivity
28945294,10.1002/nbm.3785,white_matter_connectivity
29684403,10.1016/j.neubiorev.2018.04.015,white_matter_connectivity
38239829,10.3389/fnins.2023.1228952,white_matter_connectivity
